label,latency_mean_s,latency_median_s,n,rounds_mean,success_rate,success_rate_easy,success_rate_hard,success_rate_medium,tokens_mean,tokens_median
prefix_on+chunked_on,2.89676,3.046,100,3.5384615384615383,0.39,0.5294117647058824,0.24242424242424243,0.3939393939393939,4014.03,4209.5
prefix_on+chunked_off,2.9799900000000004,3.0715000000000003,100,3.725,0.4,0.5294117647058824,0.15151515151515152,0.5151515151515151,4085.38,4224.0
prefix_off+chunked_on,3.18501,3.2489999999999997,100,3.638888888888889,0.36,0.5294117647058824,0.18181818181818182,0.36363636363636365,4089.62,4244.5
prefix_off+chunked_off,3.2070900000000004,3.376,100,3.696969696969697,0.33,0.5294117647058824,0.18181818181818182,0.2727272727272727,4171.34,4294.0
