label,latency_mean_s,latency_median_s,n,rounds_mean,success_rate,success_rate_easy,success_rate_hard,success_rate_medium,tokens_mean,tokens_median
full,2.89676,3.046,100,3.5384615384615383,0.39,0.5294117647058824,0.24242424242424243,0.3939393939393939,4014.03,4209.5
compact,2.950789999999999,3.0549999999999997,100,3.6857142857142855,0.35,0.5294117647058824,0.18181818181818182,0.3333333333333333,4101.03,4301.5
